raw_text,normalized_message,intent,sentiment,confidence,clarification
mera account block ho gaya 😭,My account has been blocked,account_issue,sad,0.74,
itna  slow  kyu  ho,Why is it so slow?,complaint,annoyed,0.67,
service  achi  lagi  😊,I liked the service,feedback,happy,0.87,pls provide your feedback
🤔 uh wot's IFSC??,What is IFSC?,general_query,confused,0.37,Can you please explain further?
no clue wht hppnd 😕,I have no idea what happened,unknown,confused,0.5,
kisi se baat karni^ h&ai,I want to talk to someone,human_agent_request,urgent,0.87,
bhai  balance  dikha,"Bhai, show me balance",check_balance,neutral,0.88,
mere  pais@e  #kahan  gaye  😡,Where did my money go?,transaction_issue,angry,0.85,
itna  slow  kyu  ho,Why is it so slow?,complaint,annoyed,0.86,
😡  y  tf  my  txn@  fail$,Why did my transaction fail?,failed_transaction,angry,0.78,
msg err agn,I am getting message error again,app_issue,frustrated,0.73,
mere  pa#ise  kahan  gaye  😡,Where did my money go?,transaction_issue,angry,0.77,
upd8 phn no.,Update my phone number,update_info,neutral,0.9,
no clue wht hppnd 😕,I have no idea what happened,unknown,confused,0.47,Can you please explain further?
😭 acct blckd?,Is my account blocked?,account_issue,sad,0.73,
phone  number  badalna  hai,I want to update my phone number,update_info,neutral,0.96,
no clue wht hppnd* 😕,I have no idea what happened,unknown,confused,0.46,Can you please explain further?
😭  acct  blckd$?,Is my account blocked?,account_issue,sad,0.85,
phone  number  badalna  hai,I want to update my phone number,update_info,neutral,0.88,
😭 acct blckd?,Is my account blocked?,account_issue,sad,0.73,
kisi  s@e  baat  karni  h$ai,I want to talk to someone,human_agent_request,urgent,0.84,
mere paise kahan gaye 😡,Where did my money go?,transaction_issue,angry,0.91,
phone number badalna hai,I want to update my phone number,update_info,neutral,0.83,
phir error aa raha hai,I am getting error again,app_issue,frustrated,0.87,
kisi se baat karni hai,I want to talk to someone,human_agent_request,urgent,0.86,
wnt  2  tlk  2  sm1,I want to talk to someone,human_agent_request,urgent,0.89,
😭 acct blckd?,Is my account blocked?,account_issue,sad,0.94,
upd8  phn  n$o.,Update my phone number,update_info,neutral,0.83,
s^amajh nahi @aaya,I didn't understand,unknown,confused,0.59,
no  clue  wht  hppnd  😕,I have no idea what happened,unknown,confused,0.57,
wnt 2 tlk 2@ sm1,I want to talk to someone,human_agent_request,urgent,0.88,
phone number badalna hai,I want to update my phone number,update_info,neutral,0.85,
wnt 2 tlk 2 sm1,I want to talk to someone,human_agent_request,urgent,0.76,
wn#t  2  tlk  2  sm1,I want to talk to someone,human_agent_request,urgent,0.74,
itna  slow  k#y#u  ho,Why is it so slow?,complaint,annoyed,0.64,
itna  slow  kyu  ho,Why is it so slow?,complaint,annoyed,0.6,
😡 y tf my txn fail,Why did my transaction fail?,failed_transaction,angry,0.84,
kisi se baat* karni h$ai,I want to talk to someone,human_agent_request,urgent,0.83,
hp#y  wi@d  @srvcs@  😊,I am happy with your services,feedback,happy,0.94,pls provide your feedback
hpy  wid  srvcs  😊,I am happy with your services,feedback,happy,0.88,pls provide your feedback
mere p$aise &kaha#n gaye 😡,Where did my money go?,transaction_issue,angry,0.72,
itna slo*w ky^u @ho,Why is it so slow?,complaint,annoyed,0.67,
